id;acc_head_code;credit_account;debit_account;transfer_amt;is_deleted;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3
1;Rustic Arkansas circuit;Markets;Michigan;14051;true;2022-08-18T11:22:07;Gloves;Lakes Ergonomic;Beauty;USB
2;blockchains Fork Advanced;task-force;Underpass markets Buckinghamshire;54722;true;2022-08-19T01:55:45;invoice capacitor;Concrete;orchid Multi-tiered;Toys THX Account
3;Money;Rubber Baby functionalities;SMS;9261;false;2022-08-19T02:17:21;Account Plastic Concrete;Customer-focused;Future brand SDD;transmitting
4;Bike Analyst;withdrawal Metal Algerian;Planner;53964;true;2022-08-19T03:54:20;Assistant Rustic vortals;green;Towels Berkshire;markets SCSI Assurance
5;Tools;white;Carolina;72120;true;2022-08-18T05:08:43;Soft;compressing utilize hack;frictionless Accounts;solid Optimized
6;Maine Program;Arizona;Refined enhance;96293;false;2022-08-18T14:36:05;communities Associate Venezuela;reboot;drive Technician;Kyat
7;plum architect;overriding haptic architect;Borders Bedfordshire;965;true;2022-08-18T13:01:34;Upgradable;CFA;optical bandwidth sexy;support back-end
8;reinvent synthesize;mobile;Courts utilisation Quality-focused;43225;false;2022-08-18T22:17:09;Borders Argentina;Oklahoma Road support;Union indexing;Assimilated Hryvnia back-end
9;indexing e-services generating;Investment ivory RAM;Credit Seamless;25814;true;2022-08-19T02:48:09;Streamlined synergistic;Pants;Baby user-centric;lavender
10;Unbranded system;Rustic;Investor;64786;false;2022-08-18T13:02:53;scalable;infrastructure static calculate;connect;Bedfordshire
