id;fd_duration_days;interest;lock_in_period;scheme_name;rd_duration_months;reinvest_interest;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;89085;50033;64220;Cordoba;61412;false;2022-08-19T03:29:33;Hollow Tuna Avon;scale Borders Checking;2022-08-19T04:41:26;true;Grass-roots Bedfordshire;generate Extensions systems;driver silver Table
2;52616;33310;53327;Plaza scalable;1497;false;2022-08-18T09:38:35;Strategist wireless Rustic;Bike Somalia Cotton;2022-08-18T13:52:04;false;bluetooth Director Burgs;Industrial;Principal Dollar
3;78098;4176;38531;Multi-lateral Orchestrator Turnpike;99693;false;2022-08-18T20:22:41;AGP invoice;mint deploy Loan;2022-08-18T07:27:34;false;Garden Kuna;methodologies Republic Forward;Garden Dynamic
4;76896;5379;59459;Incredible Kentucky;75811;false;2022-08-18T21:43:21;mobile Clothing Texas;Car initiative;2022-08-18T19:50:30;true;Lead Hollow;override Synchronised;Toys Towels quantifying
5;97365;99821;25571;Configurable Lakes Corporate;78594;false;2022-08-18T05:15:10;Handcrafted Washington parsing;SSL Malaysian;2022-08-18T20:48:11;true;Quality View;Plastic;Fantastic
6;28392;74892;65178;Cotton;3674;true;2022-08-18T16:45:42;Savings;Ireland web;2022-08-18T07:12:43;true;back-end firewall;JBOD;Awesome
7;14977;25316;62049;enable Books neutral;70924;false;2022-08-19T02:56:01;Object-based Buckinghamshire optical;vertical Auto California;2022-08-18T23:13:34;false;deposit plum;Metrics;Salad protocol
8;36416;1111;59933;stable web-enabled;56476;false;2022-08-19T00:11:13;Account International;Heights Wisconsin;2022-08-18T20:16:04;false;Orchestrator deposit;Netherlands Kwacha New;Texas Buckinghamshire SCSI
9;44831;36144;50005;multi-byte Intelligent Guadeloupe;83948;false;2022-08-18T17:45:03;payment online reintermediate;action-items discrete Berkshire;2022-08-18T23:11:09;false;definition;Program Phased;cross-media Focused Interactions
10;44038;22618;95348;Salad;31942;true;2022-08-18T07:27:17;Oklahoma microchip;maroon Awesome;2022-08-19T03:23:07;false;hack Louisiana array;Berkshire haptic Wyoming;Integration Michigan Fish
