id;voucher_date;voucher_no;prepared_by;code;narration;authorised_by;mode;is_deleted;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3
1;2022-08-18T15:35:01;invoice Associate synergies;Mississippi projection grow;INVESTMENT;Concrete Bacon;contingency cross-platform;OTHERS;true;2022-08-19T00:13:51;Shilling revolutionary Kuna;withdrawal Unbranded Money;Handmade Central District;Tennessee
2;2022-08-18T22:22:41;Garden Identity;Metical Kids mobile;PURCHASE;Incredible HTTP;Response online experiences;CASH;true;2022-08-18T19:52:28;copy Dirham;deposit solid;Program Borders;architectures Sterling 1080p
3;2022-08-18T14:48:03;Metal Rubber parsing;SMTP full-range;INVESTMENT;compressing;Jersey Berkshire Mandatory;TRANSFER;false;2022-08-19T00:29:24;Frozen Health vertical;programming;bandwidth;object-oriented
4;2022-08-18T22:13:39;Car copy back-end;Auto Bedfordshire Maine;ASSETS;cross-platform;Savings Operations fresh-thinking;TRANSFER;false;2022-08-18T13:13:23;hacking invoice override;Licensed Azerbaijanian Personal;optical superstructure;Land
5;2022-08-19T05:08:12;Kids;lime Innovative;ASSETS;indigo;Savings;TRANSFER;true;2022-08-18T23:49:37;base Steel;Account;Dakota integrate;Rubber Canadian Kina
6;2022-08-18T22:36:43;generate Intelligent Street;backing Keyboard;SALES;matrices;redundant virtual;CASH;false;2022-08-18T12:55:28;Checking harness;Mexico Oregon;Indiana;Tasty Fresh
7;2022-08-18T12:04:05;synthesizing mission-critical Functionality;Yemen withdrawal Guilder;SAVINGS;payment;Dynamic Nevada Tasty;ONLINE;true;2022-08-18T15:31:18;multi-byte leverage capacity;generating cross-platform;Digitized;Rubber Caicos
8;2022-08-19T02:18:48;withdrawal;Rustic;ASSETS;Designer navigate mindshare;Panama Account;OTHERS;false;2022-08-18T15:19:49;Multi-tiered;contingency Toys turn-key;Parkways parse;Generic
9;2022-08-18T15:15:32;Fork;applications HTTP;ASSETS;Loan back-end;Web Kansas;CASH;true;2022-08-18T13:13:54;Multi-layered incentivize Illinois;Greece;e-business Shirt Dalasi;Unbranded customized
10;2022-08-19T04:46:41;Forward Generic connect;Towels;SAVINGS;methodical parse payment;Danish;CASH;true;2022-08-18T22:52:18;deposit Avon;bifurcated bypassing Developer;Assistant;connect Fish Officer
