id;bank_name;ifsccode;branch_name;account_number;is_active;account_type;acc_head_code;parent_acc_head_code;account_name;last_modified;last_modified_by;created_by;created_on;free_field_1;free_field_2;free_field_3
1;Danish;invoice;feed;Wooden Hat transmitting;false;Security;initiatives invoice experiences;Ergonomic Tugrik;Checking Account;2022-08-19T03:30:03;Station;Village XSS algorithm;2022-08-18T14:57:45;Account Technician;seamless models optimize;blockchains neural
2;object-oriented Terrace;Cambridgeshire;embrace Granite;Intranet Small Concrete;false;neural Chief;azure JBOD compress;online Shirt Associate;Money Market Account;2022-08-19T00:40:19;Fantastic Gold;Hat Electronics Chips;2022-08-18T10:05:54;Shoals;generate infrastructures;Tennessee
3;integrate People's;Wooden sky;blue Crossing;users Zambia Checking;true;Baby;visionary monitor;IB;Home Loan Account;2022-08-18T05:51:39;Shoes Balanced;deposit;2022-08-18T18:08:20;deposit Optimization;Handmade;Louisiana Steel
4;Fish salmon;FTP bandwidth Avon;Direct;Future invoice;true;online;connecting Island navigating;Concrete;Home Loan Account;2022-08-19T01:22:52;Planner indigo SMTP;Buckinghamshire overriding Account;2022-08-18T16:26:14;Direct Licensed;Hungary;end-to-end infomediaries Borders
5;asymmetric payment Legacy;compress;synergies;Small Music;true;Chief;Switchable Ouguiya;Clothing;Savings Account;2022-08-19T02:33:25;e-tailers collaborative Manor;Chief compelling;2022-08-19T04:04:27;Wooden Sports;Strategist;hack Kuwaiti
6;withdrawal;Maine Investment compressing;lime;Liechtenstein Account;true;Fresh;Re-contextualized Coordinator bus;silver facilitate;Home Loan Account;2022-08-19T02:38:07;reboot Tajikistan Cambridgeshire;Cambridgeshire Pennsylvania Lead;2022-08-18T08:20:38;Computers;envisioneer;invoice Concrete Cross-platform
7;SAS hack Cloned;heuristic deposit;HTTP azure applications;deliverables;false;Group input;Dakota;up;Credit Card Account;2022-08-18T15:37:02;Buckinghamshire;Secured;2022-08-18T17:06:16;Mouse online purple;bluetooth;Somalia Garden
8;Associate;Human Shirt;methodology;facilitate deposit;false;portals Engineer;Table;Hat;Home Loan Account;2022-08-18T20:52:58;efficient Roads lime;online;2022-08-19T02:38:40;application Loan Agent;Corporate Cambridgeshire PCI;e-services Tuna
9;Tools program interactive;auxiliary parallelism CFP;Books panel;Steel Senior;false;Ethiopia maroon;Investor;Officer;Credit Card Account;2022-08-18T20:12:46;Cross-platform deploy;Avon microchip;2022-08-18T21:46:57;implementation cross-platform;system Fresh;Technician Rue
10;Arkansas Hat program;markets;Manager;transmitting;true;Card;interfaces e-markets;systemic engineer embrace;Savings Account;2022-08-19T02:06:23;payment interface 17(E.U.A.-17);policy Compatible;2022-08-19T01:33:03;Plastic;redundant robust;payment Jewelery
