id;npa_classification;duration_start;duration_end;provision;year;interest_rate;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;DOUBTFUL_2;28576;42196;52841;1370;69993;2022-08-18T09:33:28;Response;Granite;2022-08-18T13:00:26;false;lavender generate Assimilated;SSL alarm Coordinator;unleash Electronics
2;SUB_STANDARD;40864;82641;71881;88367;16084;2022-08-18T20:22:53;transmitter revolutionize Avon;Frozen New;2022-08-18T13:58:43;true;Supervisor payment;Officer intermediate initiatives;Cross-group Internal
3;DOUBTFUL_2;17004;82224;98862;59169;41689;2022-08-18T05:09:32;Credit plug-and-play Singapore;cutting-edge Jewelery;2022-08-18T22:43:28;true;Gloves;Cambridgeshire Product auxiliary;payment Manat mobile
4;DOUBTFUL_1;8209;51365;94231;19223;11252;2022-08-18T08:10:05;deposit wireless;transitional District;2022-08-18T08:26:29;false;Communications Pitcairn partnerships;Checking deposit bus;navigate up Route
5;DOUBTFUL_2;61869;32656;6035;92312;77447;2022-08-18T19:35:39;Fish;Fish;2022-08-18T23:59:19;false;Applications Bedfordshire;Berkshire 6th;green
6;DOUBTFUL_3;29250;41285;54641;47575;13135;2022-08-18T15:58:28;Engineer District THX;monetize;2022-08-18T14:13:11;false;invoice Wooden;bypassing neural-net;Cambridgeshire
7;DOUBTFUL_2;52483;4869;58384;35096;12919;2022-08-18T21:17:52;parsing Digitized leverage;Open-architected exploit eyeballs;2022-08-18T18:10:34;false;overriding;circuit;Montana Fresh
8;DOUBTFUL_1;23261;24197;42297;41120;20608;2022-08-18T20:52:50;Chair Books;viral Practical Salvador;2022-08-18T18:44:39;false;Vista Frozen;Massachusetts;payment Virginia deposit
9;DOUBTFUL_2;43760;197;48717;2477;43902;2022-08-18T16:24:57;Venezuela Lake;exploit PNG neural;2022-08-18T05:47:08;true;PCI Quality;Salad;implement indigo
10;DOUBTFUL_3;70624;13374;29427;28165;64279;2022-08-18T12:07:46;Berkshire BEAC District;synthesize SDD value-added;2022-08-19T03:56:05;false;lavender;Buckinghamshire;alarm
