id;dhoran_name;start_date;end_date;year;is_activate;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3
1;Mexican deploy;2022-08-18T11:46:35;2022-08-18T12:36:57;Rustic;false;2022-08-18T13:33:16;invoice stable;Club Dynamic Cross-group;Garden neutral AGP;plum wireless Automotive
2;Small SQL Tools;2022-08-18T10:05:09;2022-08-19T02:52:22;Executive;false;2022-08-19T03:24:01;Open-architected;program;e-business;Oregon Wisconsin mindshare
3;AGP Keyboard Ridges;2022-08-18T21:34:32;2022-08-18T17:04:17;Automotive Sausages;false;2022-08-18T05:27:46;Ergonomic UIC-Franc;New Avon;AI Sleek multi-state;generate Investment Division
4;Generic functionalities Checking;2022-08-19T01:32:22;2022-08-19T02:52:05;Customer;true;2022-08-19T04:53:31;Kansas Card Factors;yellow up;Dynamic Producer neural;wireless Licensed bleeding-edge
5;Investment;2022-08-18T18:03:57;2022-08-19T02:46:00;SQL;false;2022-08-18T18:31:13;overriding neural-net Texas;turn-key Car;turquoise Tasty Sausages;Keyboard
6;wireless deposit invoice;2022-08-18T16:10:56;2022-08-18T19:26:11;Missouri Mouse Games;true;2022-08-19T02:17:35;Ergonomic matrix Handmade;back Fresh;cross-platform redundant Customer-focused;Lights deposit
7;migration PNG;2022-08-18T18:02:02;2022-08-19T02:59:24;Chips;true;2022-08-18T13:42:04;Cotton;parse Towels;Oklahoma Synchronised Account;COM regional hub
8;firewall;2022-08-18T09:45:11;2022-08-18T09:19:30;synergize Roads Shirt;false;2022-08-18T12:20:48;Buckinghamshire out-of-the-box Ireland;alarm Division driver;Producer;transmitter Executive Avon
9;core;2022-08-18T19:08:52;2022-08-18T17:39:31;interfaces Loan integrate;false;2022-08-18T08:13:42;Interactions Vermont;1080p;Shoals;website Metal Practical
10;Shoes yellow;2022-08-18T12:59:07;2022-08-18T15:58:43;Beauty Operative;false;2022-08-19T02:22:25;sexy;HDD innovative;Generic;Moldovan indigo Florida
