id;asset_amount;asset_type;asset_area;asset_address;number_of_assets;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;37146;HOUSE;97720;Mozambique Vermont;73508;2022-08-18T21:43:51;mission-critical;synthesize Incredible Cyprus;2022-08-18T17:52:51;false;ADP utilisation bus;ADP Hampshire;solid well-modulated Jewelery
2;15303;HOUSE;88514;Internal;28892;2022-08-18T12:51:27;Soft overriding;programming Shoes Intelligent;2022-08-19T00:03:12;true;Sleek;SSL Pants override;Prairie Latvian
3;67559;OTHERS;81231;eyeballs matrix drive;74520;2022-08-18T20:33:25;Streets Ball groupware;Streamlined hacking Facilitator;2022-08-19T00:49:43;false;withdrawal index target;Supervisor payment Franc;Som
4;29825;FARM_MACHINERY;62897;Ball Movies;52235;2022-08-18T14:37:16;Christmas Bulgaria;overriding Officer;2022-08-18T20:40:05;true;Bedfordshire;portal;JSON Gourde
5;50201;FARM_MACHINERY;79375;deposit Jewelery;35275;2022-08-18T23:15:08;withdrawal;Maine payment;2022-08-18T05:30:46;true;Fresh Response secondary;Refined Steel;application Central impactful
6;42910;FARM_MACHINERY;78955;Berkshire Concrete;25351;2022-08-18T21:08:27;Concrete;Soap Investor;2022-08-19T03:42:51;true;Health transmitter black;redundant;invoice Analyst
7;26890;FARM_MACHINERY;36804;synthesizing;65744;2022-08-19T00:06:05;ubiquitous;reboot;2022-08-18T07:18:00;false;Forward Dynamic port;capacitor global Small;Pizza generating Forges
8;56386;FARM_MACHINERY;80558;haptic Response override;65314;2022-08-18T19:19:19;encoding;De-engineered model;2022-08-19T02:05:33;false;Movies;Facilitator Electronics benchmark;Product Coordinator transition
9;75262;FARM_MACHINERY;63088;Metical;30978;2022-08-18T23:22:01;Cape;application;2022-08-18T19:50:37;false;Hat convergence Principal;portal enterprise;Borders Pizza
10;70233;FARM_MACHINERY;4026;Republic vertical infrastructure;68275;2022-08-19T04:46:36;granular Strategist directional;Small Practical;2022-08-18T09:26:47;false;software multi-byte;Maine Unbranded yellow;hard invoice Bedfordshire
