id;type;mapping_name;ledger_acc_head_code;ledger_account_id;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;SHARE;Burundi Cambridgeshire Frozen;incubate;17811;2022-08-19T02:05:55;Sausages;partnerships parse;2022-08-18T18:38:45;true;Zloty;Metal Diverse;Groves holistic Granite
2;PURCHASE;Lithuania Small Cambridgeshire;lime Electronics Utah;63343;2022-08-18T15:24:28;payment Baby orchestrate;groupware payment;2022-08-18T11:35:42;true;Accountability bus GB;Jersey Account Granite;THX
3;LOAN;leading-edge Dollar utilize;Games Global withdrawal;6155;2022-08-18T06:55:40;grid-enabled;Officer firewall;2022-08-18T17:16:19;false;back-end Account;Accounts overriding cyan;Global
4;SHARE;viral Hawaii;technologies;15931;2022-08-18T13:50:30;transmit deposit;withdrawal transparent;2022-08-18T23:54:40;true;York up Organic;Reunion;Pines architect Computers
5;SUNDRY;Officer Burgs;deposit pixel;69262;2022-08-19T01:29:03;Dynamic Human connecting;disintermediate Saint Rubber;2022-08-18T13:41:08;false;Horizontal;Kip Borders Integration;Automotive cohesive
6;SUNDRY;French;strategize Cambridgeshire;34448;2022-08-19T04:57:51;CSS Computers;COM;2022-08-18T19:21:40;true;Highway Soft sticky;Steel;Sleek alliance Sleek
7;LOAN;deposit;visualize supply-chains Norway;92500;2022-08-18T06:54:43;Virtual Avon;invoice Republic Bike;2022-08-18T05:12:46;false;Ball Investment;disintermediate Tajikistan;Applications Incredible
8;SUNDRY;firewall white Bahamian;reciprocal;84355;2022-08-18T13:46:40;Incredible;multi-tasking;2022-08-19T00:44:43;false;Coordinator;Business-focused Games;open-source Communications Latvia
9;BORROWING;time-frame world-class Manager;killer Nauru Plastic;17993;2022-08-19T02:01:05;copying yellow;hardware;2022-08-19T01:15:56;true;Mountains target turquoise;Helena Applications violet;Dinar Account bleeding-edge
10;SUNDRY;Rubber;Intelligent Car Ameliorated;98304;2022-08-18T15:29:22;blockchains transmitting Account;Cotton;2022-08-18T10:47:01;true;Granite Handmade;Architect generating;Multi-layered
