id;permission_name;description;last_modified;last_modified_by
1;Chips Product;Grocery empower;2022-08-18T13:46:55;Berkshire
2;backing Plastic Associate;payment;2022-08-18T09:02:58;Guarani
3;payment Steel Re-engineered;generate back Pants;2022-08-18T23:15:59;Cambridgeshire Carolina
4;invoice;Health;2022-08-18T12:23:49;Computer Legacy
5;Stravenue transmitter e-commerce;Fish optimize streamline;2022-08-18T19:55:15;pink Dollar syndicate
6;silver payment;digital Executive;2022-08-18T20:59:59;Business-focused Michigan
7;Streets Web;Investment;2022-08-19T01:13:38;Avon Shirt Fresh
8;Ergonomic Rhode Crest;Granite;2022-08-19T00:24:06;RAM programming pixel
9;Illinois Implemented;Computers Manager;2022-08-18T23:50:54;Louisiana
10;Automotive;Sports Concrete;2022-08-18T13:45:07;Producer 24/7 California
