id;amount;balance_quantity;balance_value;bill_no;mode;cost;transaction_type;transaction_date;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;65166;52418;41535;withdrawal;Vietnam;29388;Proactive system Internal;2022-08-19T00:30:16;2022-08-18T18:29:27;circuit Concrete Pitcairn;copying;2022-08-18T11:04:44;true;Colorado Shoes;Hungary invoice Avon;deposit Quality
2;55831;79428;29857;Awesome;cross-media Mexico;79265;District;2022-08-18T22:37:25;2022-08-19T00:20:59;Home;database partnerships;2022-08-18T22:31:54;false;Fantastic;Director parse British;Intranet state content
3;56831;53122;20418;open;leading-edge;69277;invoice eco-centric;2022-08-19T00:18:56;2022-08-18T05:41:44;open-source bottom-line protocol;Program Money;2022-08-18T11:11:05;true;Rubber Concrete;Car Account Technician;lavender repurpose Kids
4;2212;73183;79471;Latvia program copying;client-server Mexican Music;38394;Bedfordshire Granite Louisiana;2022-08-18T19:34:44;2022-08-18T07:57:15;adapter next-generation bricks-and-clicks;Card Cheese;2022-08-18T18:50:32;true;Corporate Games Phased;Berkshire Brooks South;quantify Games
5;1503;2357;54028;Customer communities;Lithuania;7582;Markets Towels;2022-08-18T23:10:49;2022-08-18T05:53:57;Keyboard JSON firewall;initiatives Cameroon wireless;2022-08-18T22:25:43;true;Steel;Incredible Israeli COM;calculate Bedfordshire online
6;81665;14273;71212;recontextualize;Cotton firewall;30290;Tactics payment panel;2022-08-18T14:31:19;2022-08-18T14:32:18;reboot;primary program;2022-08-19T01:24:02;true;Alaska Bedfordshire Analyst;XSS;Dam
7;5009;81228;39259;mobile program;real-time Cotton Ethiopia;90598;Paradigm;2022-08-18T05:51:25;2022-08-18T15:25:22;Alaska yellow Tuna;Response;2022-08-19T01:21:20;false;Creative Bypass extend;protocol;Buckinghamshire
8;23653;13519;72826;microchip;optimal Bedfordshire incremental;41239;synthesize adapter;2022-08-18T07:06:32;2022-08-18T22:55:20;hacking;index Virginia;2022-08-19T03:54:32;false;Architect Sleek;bandwidth;Turnpike
9;47063;3265;23528;Guyana;neural wireless intangible;60537;AI;2022-08-18T11:02:38;2022-08-18T20:56:10;support Rubber PNG;foreground Infrastructure;2022-08-18T06:17:08;true;utilisation input;port withdrawal forecast;JSON Savings Borders
10;2052;82602;85020;Toys;paradigms firewall Plastic;57483;neural solutions Toys;2022-08-18T22:44:18;2022-08-19T01:19:06;fresh-thinking robust;Metal South Incredible;2022-08-18T09:36:56;false;lime Card cyan;Soap Movies Minnesota;turn-key
