id;loan_amount;loan_account_no;loan_type;status;loan_start_date;loan_end_date;loan_planned_closure_date;loan_closer_date;loan_effective_date;loan_classification;resolution_no;resolution_date;cost_of_investment;loan_benefiting_area;dccb_loan_no;mortgage_deed_no;mortgage_date;extent_morgage_value;parent_acc_head_code;loan_account_name;disbursement_amt;disbursement_status;year;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3
1;7912;bluetooth Mobility grey;MID_TERM;PENDING;2022-08-18T11:43:43;2022-08-19T04:33:55;2022-08-18T15:09:50;2022-08-18T13:28:36;2022-08-18T22:37:36;DOUBTFUL_3;Pizza Afghani;2022-08-18T08:57:44;99131;2263;72297;88285;2022-08-18T23:18:37;33971;PNG Micronesia Forint;Cambridgeshire National generate;78314;Plastic;bypass;2022-08-18T11:40:03;Card Algeria Rustic;Strategist;Metrics Applications Ball;Berkshire
2;34719;neural program open-source;MID_TERM;CLOSED;2022-08-18T22:56:44;2022-08-18T16:18:43;2022-08-18T11:35:45;2022-08-18T09:37:21;2022-08-18T21:23:39;SUB_STANDARD;Concrete Avon repurpose;2022-08-18T07:42:17;90481;77947;27056;52840;2022-08-19T00:56:19;30061;generate Automotive;parsing Small;60418;Computers success;Tuna;2022-08-18T07:28:15;Cote indexing;Chief Shilling;Tuna virtual Georgia;drive
3;49956;Buckinghamshire;LONG_TERM;DISBURSED;2022-08-19T02:14:04;2022-08-18T10:15:44;2022-08-18T19:22:04;2022-08-18T21:39:05;2022-08-19T04:38:39;SUB_STANDARD;framework Borders 1080p;2022-08-18T23:51:52;97836;66148;90611;76089;2022-08-18T06:05:36;63615;transform;Web wireless;68150;payment Facilitator Money;local Engineer;2022-08-19T05:03:12;Jewelery;Computers Wooden Analyst;compress;Consultant Loan Group
4;63102;Saint;SHORT_TERM;APPROVED;2022-08-18T18:14:12;2022-08-18T13:02:59;2022-08-19T00:38:51;2022-08-19T00:50:31;2022-08-18T07:50:46;DOUBTFUL_3;COM neural;2022-08-18T17:40:47;26341;19187;73665;98049;2022-08-18T08:09:36;57251;Regional of;lavender;91810;Shores navigating;Plastic;2022-08-18T16:45:20;Account;UAE Senior vertical;Handmade;compress Garden
5;38871;generation archive;SHORT_TERM;PENDING;2022-08-18T18:42:45;2022-08-18T20:54:39;2022-08-18T08:05:25;2022-08-18T13:07:45;2022-08-18T18:00:34;DOUBTFUL_3;back-end Car Shirt;2022-08-18T18:07:23;40179;96369;6355;93546;2022-08-18T06:22:13;74216;Massachusetts Incredible;e-markets Bike;78969;invoice 1080p Adaptive;bifurcated;2022-08-18T12:47:46;bandwidth;cyan array;generating;program
6;29392;communities;MID_TERM;PENDING;2022-08-18T13:42:20;2022-08-18T10:42:19;2022-08-18T05:57:52;2022-08-18T19:22:19;2022-08-18T10:56:27;SUB_STANDARD;Enhanced mobile;2022-08-18T08:55:36;52977;79858;98036;21568;2022-08-18T18:05:17;3001;Brand;tolerance solid;7944;Refined streamline;value-added;2022-08-18T16:45:32;Forward enable;withdrawal withdrawal;Fish;deposit Lead
7;34037;synthesize Pennsylvania payment;LONG_TERM;CHART_GENRATED;2022-08-18T13:41:33;2022-08-18T07:30:15;2022-08-18T09:04:14;2022-08-18T10:48:59;2022-08-19T03:59:50;SUB_STANDARD;Soft withdrawal Nevada;2022-08-18T09:40:37;73272;11896;79852;77383;2022-08-19T01:09:49;25844;Bahrain Maldives;leverage;82537;connect intermediate;Soft;2022-08-18T21:25:55;Realigned Kids;mindshare Park Portugal;optimal Cloned Outdoors;payment
8;25996;interactive Grocery Operations;LONG_TERM;CHART_GENRATED;2022-08-18T16:07:38;2022-08-18T12:13:21;2022-08-18T10:17:04;2022-08-19T00:08:22;2022-08-18T15:40:08;DOUBTFUL_1;Chair SCSI;2022-08-19T04:31:17;95258;62219;71162;78596;2022-08-18T10:44:40;29681;stable;Loan Consultant Account;9042;Orchestrator Kentucky Pine;alliance;2022-08-18T21:56:34;Ball Account;synthesizing Movies TCP;Gorgeous;Licensed
9;48019;withdrawal connect;LONG_TERM;CHART_GENRATED;2022-08-18T19:04:22;2022-08-18T10:46:17;2022-08-19T04:33:31;2022-08-19T04:03:45;2022-08-18T10:40:38;STANDARD;web-readiness Division Toys;2022-08-18T21:32:47;46419;11871;69897;43102;2022-08-18T16:17:26;27804;Central matrix;copy Dynamic;43801;engage Loan;indexing Fresh;2022-08-18T22:16:30;connect Music blockchains;networks Account Steel;Nebraska engage Tactics;Cambridgeshire plum
10;81646;Metrics Small;SHORT_TERM;ACTIVE;2022-08-19T02:25:10;2022-08-19T04:50:30;2022-08-18T23:15:14;2022-08-18T18:53:14;2022-08-18T22:03:15;SUB_STANDARD_ASSESTS;Shirt;2022-08-18T23:57:54;71998;15729;70952;95585;2022-08-18T08:42:10;96765;Plastic Nevada compress;Garden deposit;25261;Central overriding Rustic;bus South;2022-08-18T16:51:46;Taiwan;Direct neural Mali;Dong Table;functionalities
