id;name;deleted;lgd_code;last_modified;last_modified_by
1;salmon;true;57211;2022-08-18T16:55:29;Avon
2;black Polarised;false;49800;2022-08-18T09:49:52;Fresh Chad
3;Borders transmitter;true;61905;2022-08-18T17:00:47;Auto conglomeration benchmark
4;Romania Mayen Streamlined;false;80355;2022-08-18T23:27:26;global Games
5;forecast;true;34875;2022-08-19T01:37:09;SAS Factors leading-edge
6;core Architect withdrawal;true;89219;2022-08-18T22:19:22;bluetooth
7;Jewelery process;true;6655;2022-08-18T18:27:41;Producer
8;Soft;false;85927;2022-08-19T04:53:39;transmitting Union Configuration
9;matrix;false;59886;2022-08-18T11:15:55;next-generation optical software
10;Liberia Soft Plastic;true;75824;2022-08-19T04:48:50;Forward mesh infrastructures
