id;expenditure_desc;expenditure_type;expenditure_category;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;e-business Handmade;Plastic;true;2022-08-19T04:08:15;circuit;Islands;2022-08-18T05:44:42;false;Brazil overriding;facilitate;Electronics Generic SMTP
2;Mouse Interface Facilitator;ivory Consultant Underpass;false;2022-08-18T21:30:24;B2B interface;Table Shirt National;2022-08-18T14:22:34;true;Metrics Fresh parsing;mobile FTP systematic;withdrawal bus program
3;synthesize array;Cotton;false;2022-08-18T17:38:30;Cross-platform Chief;Metal AI;2022-08-18T22:13:18;true;Accounts;People's Analyst;Concrete payment
4;mission-critical Executive;mission-critical;false;2022-08-18T23:49:57;Borders Japan Devolved;Keyboard Music Plastic;2022-08-18T21:43:26;false;leading-edge;indigo;Towels budgetary Cheese
5;California open-source orchid;Handcrafted Centers;true;2022-08-18T22:06:37;invoice;Island;2022-08-18T17:50:05;false;back-end PCI Granite;JBOD;Mountains Loan Rubber
6;markets architecture e-commerce;Shirt;true;2022-08-18T20:32:16;Dynamic;withdrawal Grocery Rupee;2022-08-18T20:16:22;true;intermediate Loan;transmitting;withdrawal scalable
7;Account Home;reinvent Central Solutions;true;2022-08-19T01:25:22;engine;transmitter Buckinghamshire;2022-08-19T05:01:05;false;up Bedfordshire;Prairie Chicken Future;cross-media
8;state Chips Analyst;green Web;false;2022-08-18T17:45:52;Wooden quantifying Multi-tiered;program;2022-08-18T13:32:29;true;Metrics Cambodia;Gorgeous Health Generic;Hollow Franc Nevada
9;Program Iowa;Tuna;false;2022-08-18T18:33:47;Bedfordshire Alaska channels;Engineer;2022-08-18T11:31:53;false;e-business revolutionize;Upgradable;solid initiatives Buckinghamshire
10;Regional Chicken Fish;global;false;2022-08-18T11:30:56;Cambridgeshire Cotton Computers;Administrator recontextualize;2022-08-18T10:14:29;false;users;redefine;Internal
