id;loan_gr_name;criteria;product_type;is_activated;borrowing_interest_rate;interest_on_loan;penalty_interest;surcharge;loan_duration;number_of_installment;extended_interst_rate;central_gov_subsidy_interest;dist_bank_subsidy_interest;borrower_interest;state_gov_subsidy_interest;year;start_date;end_date;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;Awesome;Indiana;Books Platinum;true;61977;13114;13021;28533;1559;24500;47556;19286;15590;83214;22253;strategic;2022-08-18T12:37:52;2022-08-18T08:09:37;2022-08-18T20:31:48;Books;Internal user-facing;2022-08-18T09:27:03;false;Berkshire Home;Cove Mouse;monitor
2;withdrawal program;Granite real-time program;Mobility optimize parse;true;92883;43397;48659;25407;23973;31701;30529;61878;18645;90326;45580;Romania Granite;2022-08-19T04:09:49;2022-08-18T10:50:27;2022-08-18T21:08:49;seize PCI;Integration Fantastic;2022-08-19T04:14:55;true;backing Radial Comoro;migration;Shoes
3;Fresh Designer;reciprocal Customer Wyoming;Lead Berkshire calculating;false;64099;2988;36203;89891;86465;74087;82642;35014;61539;84498;76336;Territory;2022-08-18T17:03:18;2022-08-18T10:49:08;2022-08-18T17:04:24;bandwidth up empower;Buckinghamshire matrices Health;2022-08-18T08:47:19;false;monitor Legacy;Tala;value-added Car RSS
4;lime Quality-focused;Virginia;Generic matrix RSS;true;41337;80178;95999;34001;59540;81174;75181;435;44331;87587;72376;Steel Facilitator functionalities;2022-08-18T15:03:19;2022-08-18T08:21:31;2022-08-19T04:34:00;Borders Somali Industrial;withdrawal auxiliary Account;2022-08-18T15:56:30;true;schemas system Wisconsin;Sleek withdrawal Chief;Fish Wyoming Refined
5;Sleek invoice parse;magenta;Health;true;78751;59925;76663;19841;41297;9682;51865;48839;20914;90486;48982;mobile;2022-08-18T10:20:37;2022-08-19T00:09:05;2022-08-18T17:18:26;Identity Gibraltar;synergies;2022-08-19T02:49:45;false;Tobago Quality Cambridgeshire;object-oriented Rupee;supply-chains
6;models;Steel Direct Wooden;open-source;true;87999;7957;55204;42498;88340;86091;83052;11942;65339;75083;20077;Shoes;2022-08-18T19:42:43;2022-08-18T10:43:38;2022-08-18T09:59:46;Internal Chief Minnesota;Reduced Wooden moderator;2022-08-18T14:57:18;true;Alaska Rand cross-platform;primary backing;deposit
7;Computer integrate;enhance Handmade;task-force Cheese magnetic;false;97746;48982;50545;76888;84992;35666;72786;69638;93913;56640;4713;SMTP withdrawal;2022-08-19T04:00:00;2022-08-18T14:25:14;2022-08-19T04:32:00;extend Bacon;multimedia;2022-08-18T18:54:35;false;SQL Frozen;Nebraska;actuating Identity
8;Krona;utilize Colorado bluetooth;RSS Senior;false;81891;89188;22382;30855;45244;19582;6915;64822;69159;68685;7724;Savings Refined;2022-08-18T09:30:13;2022-08-18T18:24:35;2022-08-18T15:04:56;Roads Avon;Regional Leone green;2022-08-18T18:12:05;true;emulation Generic;back Awesome;Massachusetts concept
9;parse;metrics Serbian initiative;Avon Designer Bike;false;88420;31260;57941;42424;43089;2949;4596;23153;76825;95942;8295;copying;2022-08-18T20:27:01;2022-08-18T10:56:29;2022-08-18T18:12:29;grey payment Pizza;feed strategize transmitting;2022-08-18T07:39:22;true;Shoes Secured;group Square EXE;Delaware
10;executive Factors;Kina;Rupee;false;12159;12744;27396;72121;37162;53872;98854;55738;89516;90274;50514;Unbranded;2022-08-18T12:46:04;2022-08-18T16:02:53;2022-08-18T08:16:22;of quantifying Cambridgeshire;vortals Row iterate;2022-08-18T22:20:10;false;content-based Computer;Investment Steel;Bolivar bricks-and-clicks
