id;land_type;land_gat_no;land_area_in_hector;jindagi_patrak_no;jindagi_amount;asset_land_address;value_of_land;assignee_of_land;is_deleted;m_l_loan_no;last_modified;last_modified_by;created_by;created_on;free_field_1;free_field_2;free_field_3
1;Analyst FTP Usability;withdrawal dynamic RAM;67677;Latvia Macedonia Sri;7181;Pizza frictionless;56373;true;true;68412;2022-08-18T14:09:03;Automotive overriding vertical;invoice;2022-08-18T18:59:13;alarm capacity;Berkshire Pennsylvania;vortals
2;B2C Tactics;Account Mouse;41083;Switchable;95187;Rubber Montana quantifying;9049;false;false;49919;2022-08-18T10:26:38;Minnesota;Corporate deliverables reboot;2022-08-18T17:23:30;Account parse Re-contextualized;Program Coordinator;Chair solution-oriented
3;Ergonomic;Cambridgeshire Gorgeous;92705;Persevering Coordinator;25794;Montserrat Gardens;6310;false;false;71162;2022-08-18T10:50:30;system lavender extend;mesh;2022-08-18T07:36:47;overriding Unbranded models;Baby;Hryvnia
4;Gorgeous;Meadows bricks-and-clicks;93309;Generic Data content;92006;Iceland;22851;true;true;76653;2022-08-18T11:11:37;bypass killer;invoice;2022-08-19T02:39:19;Oregon port;Burg back-end bypassing;Gloves Incredible
5;Incredible programming Chips;Metal Sports Handcrafted;51439;Berkshire withdrawal;84107;invoice Electronics;32860;true;true;96439;2022-08-18T23:24:30;B2B Toys;customized;2022-08-18T21:29:44;Paradigm Computers Fundamental;visionary;Frozen
6;Metal whiteboard;reboot;12162;Soft;49674;parsing;47334;true;false;57755;2022-08-18T23:56:20;Coordinator;Alabama Montana Czech;2022-08-18T20:09:53;Tools;Awesome;sticky invoice Money
7;intermediate Key;payment Toys productize;16826;Account Bedfordshire;42454;Applications override;34846;true;false;24278;2022-08-18T11:29:01;radical calculate;Bedfordshire;2022-08-18T17:00:02;Forward Technician;connecting Rustic Cotton;Configurable Director Human
8;Licensed extend;Metal;73087;Danish Movies value-added;19734;superstructure sensor Rustic;9371;false;true;81069;2022-08-18T22:21:22;compressing Principal hacking;Global;2022-08-19T04:48:31;Concrete Account backing;IB;overriding
9;tan;collaborative Ergonomic copying;45957;Loan;64503;Sausages web-enabled Generic;54422;false;false;32370;2022-08-18T15:12:43;Agent red;reinvent;2022-08-18T17:22:00;navigating;asynchronous green Berkshire;aggregate
10;Towels standardization Coordinator;cyan;56685;Car navigating;69147;homogeneous Granite Sausages;7788;false;true;18603;2022-08-18T05:35:54;Chips Metal Keyboard;Plains withdrawal;2022-08-19T04:34:03;Interactions Books Associate;Awesome multi-byte compress;utilisation Tactics SDD
