id;society_assets_name;type;category;depreciation;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;overriding quantify;EQUIPMENT;world-class Loan Optimization;3845;2022-08-18T15:00:03;Handmade Home frictionless;bluetooth;2022-08-18T14:08:44;false;Pants Roads Account;Account;Quality
2;TCP Well Bacon;FURNITURE;Tasty;64171;2022-08-18T12:35:06;Refined Music;1080p;2022-08-18T05:35:38;false;core;paradigm Intelligent District;payment Incredible Credit
3;Fresh;FURNITURE;1080p architect synthesizing;98043;2022-08-18T22:11:14;one-to-one Group;Saint Pizza interface;2022-08-19T02:11:27;false;Soft Ergonomic pixel;Consultant paradigms;Pants navigate
4;Springs;FURNITURE;Implementation scale Rubber;64555;2022-08-19T04:20:51;killer parse infrastructures;payment HDD logistical;2022-08-18T15:23:38;true;port Djibouti Salad;drive payment;East Wooden
5;lavender;EQUIPMENT;neural;96003;2022-08-18T10:00:22;feed incubate;Automotive;2022-08-18T15:17:12;true;Soft Principal;Sausages Incredible Circles;Pa'anga
6;mobile;FURNITURE;synthesizing Home Intelligent;81198;2022-08-18T20:01:20;Internal;Granite orchid Frozen;2022-08-18T22:46:15;false;methodologies program;global;Frozen
7;invoice paradigms wireless;FURNITURE;actuating Supervisor;29633;2022-08-18T23:29:03;Refined transmitter expedite;Soft engineer bleeding-edge;2022-08-18T11:58:21;true;programming PCI;protocol;Cameroon
8;e-tailers;EQUIPMENT;cross-platform;75066;2022-08-18T14:52:36;Borders;local Jewelery Pants;2022-08-18T05:25:32;false;Salad time-frame;azure;Product architectures lime
9;Assurance invoice leading-edge;EQUIPMENT;Massachusetts Peso;89583;2022-08-19T04:27:35;PNG Electronics;Dynamic;2022-08-18T11:27:42;true;Planner Minnesota;Fish Account;engage panel HDD
10;magenta Lev parse;EQUIPMENT;utilize Loan;84608;2022-08-19T04:29:17;challenge;Integration;2022-08-18T13:47:21;true;orange;Strategist Visionary;red
