id;name;deleted;lgd_code;last_modified;last_modified_by
1;Savings mindshare Inverse;false;12997;2022-08-19T03:29:10;Internal Well Expanded
2;Canada Guinea;true;7946;2022-08-18T08:48:49;EXE Customer
3;Granite interface program;true;28247;2022-08-18T15:16:21;Gibraltar B2B card
4;drive;false;64317;2022-08-18T21:25:54;back
5;Automotive Borders;true;97789;2022-08-18T20:40:39;Home Soft Accountability
6;Tunnel payment solid;false;73927;2022-08-18T09:37:37;synthesizing
7;Incredible Account Generic;false;71620;2022-08-19T01:37:06;solid
8;hardware panel;true;92014;2022-08-18T23:43:28;Licensed implementation Kuna
9;Internal;true;99152;2022-08-18T11:34:44;Account solutions
10;Cloned Account;false;17209;2022-08-18T11:22:02;Granite management
