id;name;deleted;lgd_code;last_modified;last_modified_by
1;Executive Buckinghamshire plum;true;25550;2022-08-18T22:32:13;utilize Fresh cohesive
2;SCSI;true;70848;2022-08-18T05:28:27;copying Program
3;withdrawal cutting-edge;true;75096;2022-08-18T12:59:56;cyan Response
4;Expanded Computer Indiana;true;96025;2022-08-18T15:28:07;synthesize
5;Kwacha Frozen quantify;true;96016;2022-08-19T04:56:46;International
6;withdrawal Granite;false;5420;2022-08-18T18:01:10;Field Movies scale
7;Investment Steel Luxembourg;true;99911;2022-08-18T08:42:26;Total
8;mindshare Gorgeous;true;47979;2022-08-18T21:53:45;alarm Buckinghamshire
9;Analyst interactive Ridges;true;26685;2022-08-18T15:25:51;neural Implementation bandwidth
10;Kids;false;51770;2022-08-18T22:34:49;actuating
