id;disbursement_date;disbursement_amount;disbursement_number;disbursement_status;payment_mode;type;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3
1;2022-08-18T20:12:45;59243;4680;Health;CASH;LONG_TERM;2022-08-18T13:16:40;superstructure Senior;Plastic infrastructures;Sleek parsing;virtual XML Table
2;2022-08-18T07:44:48;67196;61940;grey Home;OTHERS;MID_TERM;2022-08-18T06:48:30;Vermont solid;synthesize;Bike Harbor applications;Chicken Buckinghamshire Personal
3;2022-08-18T06:31:03;13164;35966;port Consultant Franc;ONLINE;SHORT_TERM;2022-08-18T07:42:18;impactful;Accountability Avon Ergonomic;Arabia;framework Soap exploit
4;2022-08-19T04:52:33;9573;67692;functionalities;CASH;LONG_TERM;2022-08-18T13:44:38;Ergonomic Tools;real-time payment;Buckinghamshire enable;withdrawal Advanced payment
5;2022-08-18T06:04:00;60022;68248;wireless Mouse;TRANSFER;SHORT_TERM;2022-08-19T04:48:14;incentivize;Sweden;XML facilitate;red motivating indexing
6;2022-08-18T05:23:36;95891;93063;Plastic Auto;CHEQUE;MID_TERM;2022-08-18T08:00:04;Refined;Representative;Fish;interface reboot Communications
7;2022-08-18T09:04:24;79875;89523;Parkway Soap;CASH;SHORT_TERM;2022-08-19T03:54:11;Mandatory Kentucky AI;calculate Islands;IB;calculate
8;2022-08-18T11:33:06;61044;94402;compelling interfaces state;TRANSFER;MID_TERM;2022-08-18T12:05:56;facilitate online quantifying;web-readiness;integrate;parse client-driven turquoise
9;2022-08-18T11:19:44;96785;25280;leading-edge drive;CASH;SHORT_TERM;2022-08-19T01:38:18;Missouri firewall Louisiana;Dollar Account reintermediate;impactful Berkshire;Light Quality-focused Generic
10;2022-08-18T10:03:20;12438;43610;backing backing Island;TRANSFER;SHORT_TERM;2022-08-18T08:10:38;Loan transmitting;integrated;Car SMS;Central vertical hacking
