id;loan_demand_amount;max_allowed_amount;adjusted_demand;annual_income;cost_of_investment;demanded_land_area_in_hector;status;season_of_crop_loan;year;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3
1;52714;5479;70131;67520;45320;34681;PENDING;Engineer hack;Re-engineered Delaware navigating;2022-08-18T17:27:17;Administrator Walk Pound;synthesize;Technician;Maine
2;90155;47358;77102;63626;93557;29087;ACTIVE;Beauty Plastic;bypassing Dynamic;2022-08-19T00:08:46;emulation didactic Bedfordshire;supply-chains;Corporate JSON Shoes;driver
3;91566;72769;88618;71303;25509;95949;DISBURSED;Bacon Practical alliance;Gourde port;2022-08-18T18:40:11;reboot Concrete adapter;markets Facilitator Officer;Tugrik quantifying;Guinea Internal
4;87232;34841;16408;36920;89535;99675;ACTIVE;capacitor;neural;2022-08-18T15:54:33;parsing quantifying Administrator;Multi-layered;payment initiatives;Dynamic
5;69320;99082;41347;1486;11982;33479;APPLIED;real-time Pants Bedfordshire;CSS;2022-08-18T11:42:57;Brand;AI Oregon;Tunnel Re-contextualized;Baby Towels Designer
6;62772;98722;8150;12143;74720;32880;DISBURSED;real-time Pizza Customizable;Function-based process;2022-08-19T00:03:49;Digitized schemas Paradigm;Account Australian Account;Junctions Kids;Handcrafted Virtual
7;30201;72444;27217;75914;70665;85852;PENDING;users Pizza Michigan;demand-driven Analyst Architect;2022-08-18T09:47:29;Maine;Account;Keyboard Operations;port
8;40794;49831;19841;12476;66005;3755;CHART_GENRATED;Peru Down-sized;SSL Global JBOD;2022-08-19T05:04:25;Seychelles Ocean;Open-source;infrastructure Brand Electronics;synthesize Chicken
9;24348;86694;59689;88316;40561;17026;DISBURSED;navigate mobile;Account;2022-08-18T16:12:17;purple;generating bus;JBOD;cross-platform Drive
10;35511;4978;53781;29899;85419;21718;PENDING;Fantastic Solomon;Keyboard;2022-08-19T05:00:47;Refined;District cross-platform Isle;Bedfordshire complexity Fish;Refined bus
