id;doc_type;document_desc;document_name;loan_type;mandatory;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;AI transition;Fresh Handmade Fresh;architecture Account Visionary;LONG_TERM;Berkshire;2022-08-18T19:47:35;base Tuna;firewall Unbranded Cloned;2022-08-18T21:50:26;false;capacitor;virtual Accountability Neck;Generic Gabon
2;Fresh;strategy transmitting;Indiana;MID_TERM;global Soft;2022-08-19T02:09:20;Interactions;Course Georgia Michigan;2022-08-18T17:18:43;false;orchestration FTP;strategy Intelligent;Paradigm
3;capacitor markets;plug-and-play;Borders Computers;SHORT_TERM;Skyway calculate;2022-08-18T15:26:11;payment;copy GB;2022-08-18T09:03:45;false;Sweden invoice Martinique;Producer;Central calculating
4;Customizable;Cotton interface;Frozen primary database;LONG_TERM;lavender Metrics FTP;2022-08-19T01:37:47;Plaza orchid;user-centric Keyboard;2022-08-18T15:05:35;false;Zealand Marketing invoice;proactive;Versatile
5;seamless Intelligent human-resource;Assimilated generate;Cambridgeshire;SHORT_TERM;Outdoors Supervisor;2022-08-18T22:57:30;upward-trending Shilling program;solutions Implementation Via;2022-08-19T01:11:19;true;product bleeding-edge AI;Argentine;revolutionize
6;compressing uniform Ergonomic;Auto Associate Fresh;Books state Pre-emptive;SHORT_TERM;Card Applications;2022-08-18T16:00:34;Towels;Monitored human-resource;2022-08-18T09:31:27;true;holistic;enhance Interactions;quantifying Credit synthesize
7;Officer;Gorgeous Jewelery withdrawal;Mount Computer;LONG_TERM;Account withdrawal;2022-08-18T19:19:12;Branding backing Money;Team-oriented;2022-08-18T23:52:06;false;Electronics mobile Utah;Soft;matrix deposit Developer
8;SCSI Keys backing;Assurance core Dollar;markets Internal connecting;MID_TERM;haptic;2022-08-18T09:41:51;Fish Account Centralized;monitor Communications database;2022-08-18T16:53:17;true;efficient invoice;Steel;deposit Vermont Customer
9;Checking Spur Towels;array Bike drive;compressing Iran navigating;SHORT_TERM;Liaison relationships feed;2022-08-18T18:41:08;Inverse;web-enabled;2022-08-18T21:23:34;false;Division Auto;transform;multi-byte
10;firmware bypass Salad;Granite;PCI Carolina;LONG_TERM;Indiana exploit Generic;2022-08-19T01:01:28;feed Dobra Tactics;Accounts Metrics Sleek;2022-08-18T20:00:51;true;Pass;AI Towels Dynamic;transmit systems
