id;type;name;description;value;last_modified;last_modified_by;created_by;created_on;is_deleted
1;EXECUTIVE_TITLE;Ameliorated methodologies;systematic optical management;workforce Configuration;2022-08-19T00:53:36;Bedfordshire Checking Buckinghamshire;overriding Aruban;2022-08-18T22:01:04;true
2;FARMER;Afghani;platforms Practical;Loan override;2022-08-18T12:51:08;Djibouti strategize;maroon mindshare;2022-08-18T13:32:04;true
3;CASTE;synergistic Configurable deposit;Credit;Music;2022-08-18T20:17:02;sticky Beauty;Brook Metal;2022-08-18T08:12:11;false
4;CATEGORY;asynchronous;Rubber Gorgeous Cambridgeshire;impactful;2022-08-18T20:09:09;Optimization;Nevada Garden Liaison;2022-08-19T00:47:41;false
5;EXECUTIVE_TITLE;efficient leverage Profit-focused;Bedfordshire;Tuna convergence Customer;2022-08-19T02:30:24;infrastructures ROI;Grenada Engineer;2022-08-19T04:52:05;false
6;EXECUTIVE_TITLE;Supervisor Checking;Fresh rich;Florida Liberia;2022-08-18T11:31:52;Tasty Centralized;stable Automotive;2022-08-18T06:40:07;false
7;ACCOUNT_TYPE;Technician black Road;e-commerce Awesome Account;integrated parse navigate;2022-08-18T22:22:04;quantify;application Hong;2022-08-18T05:49:02;true
8;EXECUTIVE_TITLE;TCP Spain;Ergonomic Fields;Overpass;2022-08-18T20:28:37;override Pound connect;Dynamic;2022-08-18T20:44:19;true
9;INVESTMENT;Fantastic;Ameliorated navigate;line Rupee;2022-08-18T14:13:03;Rubber Consultant Jewelery;exuding Corporate visionary;2022-08-19T00:27:24;false
10;BELONGING;Tennessee markets strategize;lavender Architect;connecting Ergonomic;2022-08-19T01:01:47;Seychelles schemas;Factors digital front-end;2022-08-18T13:56:49;true
