id;crop_name;month_duration;season;crop_limit;year;last_modified;last_modified_by;created_by;created_on;is_deleted;free_field_1;free_field_2;free_field_3
1;Pass Programmable Avenue;44617;RABBI;94375;39285;2022-08-18T06:44:41;Ngultrum;invoice Spain feed;2022-08-18T08:50:48;false;Expanded Auto primary;transmitting networks;Buckinghamshire synergize open-source
2;card;22781;KHARIP;16974;31467;2022-08-19T00:00:50;feed Seamless;Fish Drive Dynamic;2022-08-18T18:42:53;true;Trace moderator;grey;Supervisor Investor Lempira
3;program Republic interface;82977;RABBI;33160;13329;2022-08-18T08:03:49;Yen Maine;compelling;2022-08-18T21:14:38;true;Surinam;Chief;COM Integration interactive
4;National initiatives Digitized;22381;RABBI;44318;75063;2022-08-18T13:17:10;payment;Chips Idaho array;2022-08-19T00:56:03;true;mesh;Buckinghamshire Plastic;FTP
5;Associate invoice connecting;10463;KHARIP;67896;58160;2022-08-18T11:30:12;card;invoice calculating Car;2022-08-18T22:45:33;true;mobile;Czech Grocery;District Light
6;lavender fault-tolerant;89584;KHARIP;88705;81657;2022-08-18T13:41:52;Table;copying Regional;2022-08-18T13:09:23;true;deposit;system Rustic;application web-enabled
7;Horizontal architectures;52820;RABBI;406;41970;2022-08-18T11:34:45;calculating;Home Costa mobile;2022-08-18T12:10:25;false;real-time;Chief Intranet Refined;Books clicks-and-mortar
8;wireless payment zero;12766;HANGAMI;87859;70143;2022-08-18T23:31:29;disintermediate;Shirt;2022-08-18T12:32:44;true;Vista SQL Future-proofed;global;multi-byte neural-net withdrawal
9;Viaduct Shoes;33903;HANGAMI;54069;43340;2022-08-19T03:25:30;Granite;Books TCP application;2022-08-18T22:31:03;false;JBOD neutral;Distributed;program
10;Granite Ghana;67052;RABBI;97093;58058;2022-08-18T19:07:18;technologies;Sterling Avon;2022-08-18T07:46:12;false;Metal Executive;magenta Awesome Savings;Mobility
