id;installment_date;total_outstanding_principle_amt;total_outstandng_interest_amt;paid_principle_amt;paid_interest_amt;bal_principle_amt;bal_interest_amt;loan_emi_amt;principle_emi;payment_status;year;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3
1;2022-08-18T16:25:34;41232;89413;29879;36146;88810;5229;29759;76448;Small yellow withdrawal;SCSI synthesizing;2022-08-18T08:57:26;Rubber dedicated solutions;24/365 District Estates;Lesotho Cambridgeshire;repurpose
2;2022-08-18T19:00:47;23273;44623;98977;60922;5505;33129;95628;78245;payment Innovative;Operative;2022-08-19T00:48:23;Bacon;Rustic;Outdoors;Rubber Forward
3;2022-08-19T04:17:37;23220;60348;6460;37655;30538;78730;88742;8500;Accountability;lavender Analyst Shoes;2022-08-19T03:22:05;firewall Jewelery Unbranded;Gorgeous;Utah Avon cutting-edge;Refined payment
4;2022-08-19T00:36:59;47383;21878;87171;39916;16740;66159;39144;1450;Balanced payment;Wooden Soft Russian;2022-08-18T13:38:29;back-end deposit Car;users Frozen Chicken;Borders overriding;Granite Mobility Function-based
5;2022-08-18T21:15:23;62377;94406;9558;94593;61704;11517;41376;80381;B2C Island Lakes;Central Cambridgeshire incentivize;2022-08-18T15:02:37;Multi-lateral firmware Colorado;mobile Rubber grey;Bike Sum;Open-source local purple
6;2022-08-19T00:58:36;48470;61831;97545;79129;2594;13722;64409;53191;Rustic;Bike compress next;2022-08-18T14:18:42;connect;online;Health EXE;Alabama
7;2022-08-18T18:55:52;68161;69050;35679;24331;28303;82131;18631;28841;uniform client-server Account;Generic;2022-08-18T07:17:17;Electronics Avon turn-key;productize radical applications;Hat Borders;Street Freeway
8;2022-08-18T18:02:38;806;920;84624;30518;26345;18597;86572;87064;frictionless;Gloves;2022-08-18T07:41:41;Ergonomic;transmitter;Dynamic Ergonomic Tunnel;matrix Gorgeous
9;2022-08-19T02:52:49;90902;22033;9614;54755;29000;44160;92410;3780;analyzing input asymmetric;back-end transmitting;2022-08-18T23:09:38;Pizza Fundamental;Quality Lodge;Incredible implement deliver;edge
10;2022-08-18T14:12:35;90987;89991;9226;53964;22635;31570;70111;80625;well-modulated;Coordinator zero;2022-08-18T14:33:20;Incredible Product Granite;Specialist;bypass Brand;Books
