id;name;deleted;lgd_code;last_modified;last_modified_by
1;lavender Metal interfaces;false;23796;2022-08-18T12:30:43;Kip Account
2;Fish Legacy;true;81173;2022-08-18T09:11:19;customized Account Integrated
3;aggregate Awesome Fish;false;90604;2022-08-18T11:28:41;bypass copy Profound
4;Cotton Avon;true;51306;2022-08-18T05:38:55;monitor navigating programming
5;Hat Coordinator Technician;true;44105;2022-08-18T20:06:59;Cambridgeshire extend
6;interface Personal Netherlands;true;47222;2022-08-18T15:21:27;Arizona matrix
7;mobile Officer Marino;true;48117;2022-08-18T11:38:04;Distributed Tasty deposit
8;SDD primary;true;81991;2022-08-18T20:02:44;Pre-emptive
9;Keyboard;false;89331;2022-08-18T17:44:02;invoice Seamless indigo
10;payment Health;false;90414;2022-08-18T10:43:49;internet Handcrafted Small
